totcper	totcinc	food	alta	age	dcoast	dmiddle	dwest
 715.6	 777.2	 412.8	  12.0	41.0	0	1	0
1021.1	1081.0	 649.6	  71.2	40.0	0	1	0
1230.7	 821.3	 722.7	  67.8	35.0	0	1	0
1611.4	1295.5	 923.4	 121.0	38.0	0	1	0
1069.5	1372.7	 599.5	  74.0	48.5	0	1	0
1046.6	1119.5	 655.6	  22.0	54.5	0	1	0
 689.1	 832.7	 505.1	  37.7	77.5	0	1	0
1037.3	2181.5	 610.5	  80.3	27.0	0	1	0
 885.7	 739.2	 523.9	  30.0	39.0	0	1	0
 940.9	1614.0	 573.9	  28.0	49.0	0	1	0
 923.0	1499.2	 524.8	  11.7	36.5	0	1	0
 958.1	 730.5	 724.8	  59.0	36.5	0	1	0
 924.6	 892.2	 634.1	  46.5	41.0	0	1	0
1048.2	1712.0	 656.0	  60.3	37.0	0	1	0
 797.0	 855.7	 586.2	  32.5	34.5	0	1	0
 849.6	1023.2	 647.9	  20.0	51.0	0	1	0
 930.9	 853.3	 644.9	  55.2	31.5	0	1	0
1213.4	 911.2	 763.9	  97.0	44.0	0	1	0
 929.7	1612.3	 700.4	  25.0	39.0	0	1	0
 782.2	 863.3	 602.9	  20.0	57.5	0	1	0
1062.2	 205.4	 587.4	  53.6	50.0	0	1	0
1129.5	 329.0	 769.1	  36.7	35.5	0	1	0
 732.5	 335.5	 472.3	  50.0	44.0	0	1	0
 904.1	 366.7	 638.1	 120.0	33.0	0	1	0
1227.8	 435.5	 691.6	  48.3	38.0	0	1	0
1529.8	 363.5	 742.6	   6.3	37.0	0	1	0
1286.7	 279.5	 674.2	  61.8	37.5	0	1	0
 904.8	2807.3	 663.5	  23.3	50.0	0	1	0
 772.7	1286.2	 575.1	  33.0	40.5	0	1	0
1070.9	1338.4	 723.5	  44.0	44.5	0	1	0
1161.1	 877.0	 823.9	  38.2	47.0	0	1	0
2508.4	1735.3	 974.2	  31.5	62.5	0	1	0
1158.5	1892.7	 750.2	  30.3	51.0	0	1	0
 780.6	 546.0	 396.4	  20.4	43.0	0	1	0
 738.0	 382.8	 413.8	  12.8	45.0	0	1	0
1406.4	 565.8	 452.8	  39.8	46.5	0	1	0
